Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Schnaser, Aron House Committee",19021,DFL,House,7A,2023-10-02 08:17:00.000,,0,"Schnaser, Aron",7A,House
"Repinski, Aaron House Committee",19019,RPM,House,26A,2023-09-25 08:58:00.000,,0,"Repinski, Aaron",26A,House
"Wroblewski, Lucia House Committee",19018,DFL,House,41A,2023-09-19 14:11:00.000,,0,"Wroblewski, Lucia",41A,House
"Daisane, Abdi House Committee",19012,DFL,House,14A,2023-08-30 08:16:00.000,,0,"Daisane, Abdi",14A,House
"Cohn, Brian House Committee",19008,DFL,House,57B,2023-08-24 09:06:00.000,,0,"Cohn, Brian",57B,House
"Steffenhagen, Caleb House Committee",19007,RPM,House,48B,2023-08-08 15:36:00.000,,0,"Steffenhagen, Caleb",48B,House
"Dorau, Dwight House Committee",19006,RPM,House,47B,2023-05-19 13:43:00.000,,0,"Dorau, Dwight",47B,House
"Rehrauer, Kari House Committee",19005,DFL,House,35B,2023-05-01 16:08:00.000,,0,"Rehrauer, Kari",35B,House
"Hutchinson, Michael House Committee",19004,DFL,House,20B,2023-02-22 14:07:00.000,,0,"Hutchinson, Michael",20B,House
"Boyechko, Michelle Senate Committee",19003,DFL,Senate,11,2022-08-19 08:34:00.000,,0,"Boyechko, Michelle",11,Senate
"Bird, Victoria Ann Senate Committee",19001,DFL,Senate,28,2022-07-18 15:54:00.000,,0,"Bird, Victoria Ann",28,Senate
"Hawthorne, Trenton TJ House Committee",19000,LPM,House,44B,2022-07-18 11:21:00.000,,0,"Hawthorne, Trenton TJ",44B,House
"Peichel, Jeremy Senate Committee",18999,LPM,Senate,66,2022-07-15 13:36:00.000,,0,"Peichel, Jeremy",66,Senate
"Sceville, James House Committee",18998,DFL,House,1A,2022-07-13 08:54:00.000,,0,"Sceville, James",1A,House
"Pinkney, (Walter) Alex House Committee",18997,RPM,House,44A,2022-07-11 10:59:00.000,,0,"Pinkney, (Walter) Alex",44A,House
"Murray, Mikki Senate Committee",18996,RPM,Senate,66,2022-07-11 10:40:00.000,,0,"Murray, Mikki",66,Senate
"Doerr, Stephen House Committee",18995,RPM,House,26A,2022-07-07 12:11:00.000,,0,"Doerr, Stephen",26A,House
"Vanoverbeke, Keith House Committee",18993,DFL,House,15A,2022-07-05 09:00:00.000,,0,"Vanoverbeke, Keith",15A,House
"Pulham, Katrina House Committee",18991,RPM,House,24B,2022-07-01 17:12:00.000,,0,"Pulham, Katrina",24B,House
"Scott, Ulric ""Todd"" C III Senate Committee",18992,DFL,Senate,63,2022-07-01 08:47:00.000,,0,"Scott, Ulric ""Todd"" C, III",63,Senate
"Kells, Nathan House Committee",18988,DFL,House,48A,2022-06-30 13:38:00.000,,0,"Kells, Nathan",48A,House
"Hobot, Chad T House Committee",18986,DFL,House,30B,2022-06-27 11:01:00.000,,0,"Hobot, Chad",30B,House
"Nguyen, Diane Senate Committee",18985,DFL,Senate,30,2022-06-27 10:45:00.000,,0,"Nguyen, Diane",30,Senate
"Fisher, Bill House Committee",18984,DFL,House,31B,2022-06-27 09:17:00.000,,0,"Fisher, Bill",31B,House
"Lawhead, Brandon Senate Committee",18983,DFL,Senate,23,2022-06-27 09:08:00.000,,0,"Lawhead, Brandon",23,Senate
"Paulsen, Darrell Gov Committee",18982,GRP,Governor,,2022-06-23 15:17:00.000,,0,"Paulsen, Darrell",,GC
"Bromenschenkel, Melissa House Committee",18981,DFL,House,13B,2022-06-23 08:50:00.000,,0,"Bromenschenkel, Melissa",13B,House
"Heidelberger, Michael House Committee",18979,DFL,House,21B,2022-06-22 13:52:00.000,,0,"Heidelberger, Michael",21B,House
"Robinson, John Joseph House Committee",18978,RPM,House,25B,2022-06-21 13:14:00.000,,0,"Robinson, John Joseph",25B,House
"Hughes, Dave Senate Committee",18977,RPM,Senate,1,2022-06-20 15:00:00.000,,0,"Hughes, Dave",1,Senate
"Baustian, Patrick House Committee",18976,DFL,House,21A,2022-06-20 10:15:00.000,,0,"Baustian, Patrick",21A,House
"McLain, Keith House Committee",18974,DFL,House,24A,2022-06-17 12:41:00.000,,0,"McLain, Keith",24A,House
"Beebe, Beth House Committee",18973,RPM,House,50B,2022-06-16 15:14:00.000,,0,"Beebe, Beth",50B,House
"Gaul, Anita Senate Committee",18972,DFL,Senate,15,2022-06-16 14:52:00.000,,0,"Gaul, Anita",15,Senate
"Schmitz, Andrew Senate Committee",18971,RPM,Senate,62,2022-06-16 13:48:00.000,,0,"Schmitz, Andrew",62,Senate
"Babin, Paul Senate Committee",18969,RPM,Senate,44,2022-06-16 10:28:00.000,,0,"Babin, Paul",44,Senate
"Halmrast, Lynn House Committee",18968,RPM,House,4A,2022-06-15 09:34:00.000,,0,"Halmrast, Lynn",4A,House
"Cekalla, Suzanne M Senate Committee",18967,DFL,Senate,10,2022-06-15 09:27:00.000,,0,"Cekalla, Suzanne M",10,Senate
"Sylvester, Rod House Committee",18966,RPM,House,39A,2022-06-15 09:17:00.000,,0,"Sylvester, Rod",39A,House
"Leitzen, Eric Senate Committee",18964,LMP,Senate,26,2022-06-13 13:25:00.000,,0,"Leitzen, Eric",26,Senate
"Kruse, Todd House Committee",18962,RPM,House,53A,2022-06-13 09:39:00.000,,0,"Kruse, Todd",53A,House
"Johnson, Blain House Committee",18961,RPM,House,3A,2022-06-13 09:32:00.000,,0,"Johnson, Blain",3A,House
"Hillen, Paul Senate Committee",18960,RPM,Senate,42,2022-06-13 09:28:00.000,,0,"Hillen, Paul",42,Senate
"Froelich, Hunter House Committee",18959,DFL,House,10B,2022-06-10 14:06:00.000,,0,"Froelich, Hunter",10B,House
"Johnson, Trace House Committee",18957,RPM,House,66A,2022-06-10 10:04:00.000,,0,"Johnson, Trace",66A,House
"Kittelson, Roger House Committee",18956,IPMN,House,20A,2022-06-10 09:53:00.000,,0,"Kittelson, Roger",20A,House
