company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,ABI,primary_SIC_code,SIC6_description,primary_NAICS_code,NAICS8_description,parent_company_ABI,classification,unique_id,parent_company_unique_id
3R PETROLEUM OLEO E GAS,RRRP3,3R Petroleum Oleo E Gas SA,,,,,,,,,,,,f,48438d26-f3e6-4cc0-9f63-97f2acd2d394,
88 ENERGY,88E,88 Energy Ltd,,,,,,,,,,,,f,3798f9cb-0f87-4dac-b7d1-f63546fd96d3,
A.B.P. NOCIVELLI,ABP,A.b.p. Nocivelli SpA,,,,,,,,,,,,f,7860035e-e584-40df-9f6d-f5c5128fc6c0,
A2A,A2A,A2A SpA,,,,,,,,,,,,f,c8f28f1d-3593-4a5d-beeb-5bfea6664517,
ABRAJ ENERGY SERVS,ABRJ,Abraj Energy Services,,,,,,,,,,,,f,30853f3a-8960-477d-976f-a59d8ca69dee,
ABU DHABI NATIONAL ENERGY,TAQA,شركة ابوظبي الوطنية للطاقة,,,,,,,,,,,,f,1d80d92e-23db-4e86-951e-738298fa6289,
ACEN,ACEN,ACEN Corp,,,,,,,,,,,,f,b7d2a553-e250-49a0-a175-b8473dba3f7a,
ACWA POWER,2082,شركة أكوا باور,,,,,,,,,,,,f,5de7cc6d-5726-419b-9a69-6be50d354e38,
ADAMS RESOURCES & ENERGY,AE,Adams Resources & Energy Inc,,,,,,,,,,,,f,1c95fa21-d060-4b7e-82a2-5bf435094263,
ADES HOLDING,2382,شركة أديس القابضة,,,,,,,,,,,,f,70c863ed-fe26-488f-bc44-3e2d59de7d25,
ADNOC DRILLING COMPANY,ADNOCDRILL,ADNOC Drilling Company PJSC,,,,,,,,,,,,f,194b3543-b44c-4eb1-9a22-6260beb49857,
ADNOC GAS,ADNOCGAS,أدنوك للغاز بي أل سي,,,,,,,,,,,,f,bd42bcf4-663a-465b-96ea-6a0148c8c8cc,
ADVANTAGE ENERGY,AAV,Advantage Energy Ltd,,,,,,,,,,,,f,fe1d5b80-f986-4dfe-996d-c20f835e1e60,
AEGIS LOGISTICS,500003,Aegis Logistics Ltd,,,,,,,,,,,,f,9d2cd328-af80-4aad-bbf7-b0efcc7c1ee2,
AEMETIS,AMTX,Aemetis Inc,,,,,,,,,,,,f,393e474b-2046-4d20-a1ff-dd6f5b21d23e,
AES,AES,The AES Corp,,,,,,,,,,,,f,a4c6c4f1-be7e-459e-9489-36bd2f7fa667,
AFENTRA,AET,Afentra PLC,,,,,,,,,,,,f,9f81888c-6e02-4f7a-b1e4-b69bda1087fc,
AFRICA OIL,AOI,Africa Oil Corp,,,,,,,,,,,,f,93a8bdad-fe3d-4ecd-9c93-1752a859d430,
AGL ENERGY,AGL,AGL Energy Ltd,,,,,,,,,,,,f,7df791c9-9aed-45ec-8eea-93f493e064c6,
AHLATCI DOGAL GAZ DAGITIM,AHGAZ,Ahlatci Dogal Gaz Dagitim Enerji Ve Yatirim,,,,,,,,,,,,f,41ecbb88-a63a-42fb-b8fc-1e833b2c4bd5,
AIR PRODUCTS & CHEMICALS,APD,Air Products & Chemicals Inc,,,,,,,,,,,,f,bb2d394c-306d-4a12-9edd-1cdaf3b8e357,
AKASTOR,AKAST,Akastor ASA,,,,,,,,,,,,f,8efb02cf-a80c-47be-bbec-812d08c59d7f,
AKER BP,AKRBP,Aker BP ASA,,,,,,,,,,,,f,eff874a3-1d1a-4a3b-916d-2abe2e713d55,
AKER SOLNS,AKSO,Aker Solutions ASA,,,,,,,,,,,,f,3a14880c-30cc-4462-8670-058095eb8bd2,
AKITA DRILLING,AKT.A,Akita Drilling Ltd,,,,,,,,,,,,f,f71755cd-5622-4b12-9d7b-222bd8b4c572,
AKR CORPORINDO,AKRA,PT AKR Corporindo Tbk,,,,,,,,,,,,f,e51ef1e1-837a-48f4-a6e4-1ffcd631d8cc,
