company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,primary_SIC_code,SIC6_description,SIC_code,primary_NAICS_code,NAICS8_description,parent_company_name,parent_company_ABI,classification,fossil_fuel_primary,clean_energy_primary,fossil_fuel_secondary,clean_energy_secondary,unique_id
3R Petroleum Oleo E Gas,RRRP3,3R Petroleum Oleo E Gas SA,,,,,,,,,,,,,f,,,,,fa2f42b5-5969-4d46-9dd2-bb218187fb73
88 Energy,88E,88 Energy Ltd,,,,,,,,,,,,,f,,,,,8cf92c48-eb29-4b9b-a820-5c8c8a2236ea
A.b.p. Nocivelli,ABP,A.b.p. Nocivelli SpA,,,,,,,,,,,,,f,,,,,9087bf7b-70ca-42d0-a9f6-a5dd5187c2ef
A2A,A2A,A2A SpA,,,,,,,,,,,,,f,,,,,14f18dbf-0925-4805-9213-35bea8dc3442
Abraj Energy Servs,ABRJ,Abraj Energy Services,,,,,,,,,,,,,f,,,,,50187048-3921-491f-ba2d-ffccfdbf80e3
Abu Dhabi National Energy,TAQA,شركة ابوظبي الوطنية للطاقة,,,,,,,,,,,,,f,,,,,fa0dfec6-a533-4882-8bf9-0e3b72689f8e
ACEN,ACEN,ACEN Corp,,,,,,,,,,,,,f,,,,,9bcafb0e-9dcd-44ff-963c-eeadd23f911a
ACWA POWER,2082,شركة أكوا باور,,,,,,,,,,,,,f,,,,,587ad5f6-e75d-4ea3-b80f-34902cdeec53
Adams Resources & Energy,AE,Adams Resources & Energy Inc,,,,,,,,,,,,,f,,,,,5c9d955f-8c31-42cf-94f8-069e5321fd4c
Ades Holding,2382,شركة أديس القابضة,,,,,,,,,,,,,f,,,,,f92cb7ad-169a-41bf-929b-441101cc7073
ADNOC Drilling Company,ADNOCDRILL,ADNOC Drilling Company PJSC,,,,,,,,,,,,,f,,,,,d49f9290-f867-421c-85dc-d7ccd27914d2
ADNOC Gas,ADNOCGAS,أدنوك للغاز بي أل سي,,,,,,,,,,,,,f,,,,,45ea7892-6db4-48b1-a74a-1acc0cfa1715
Advantage Energy,AAV,Advantage Energy Ltd,,,,,,,,,,,,,f,,,,,a16b6572-9479-475d-9902-e3ec248546b0
Aegis Logistics,500003,Aegis Logistics Ltd,,,,,,,,,,,,,f,,,,,6ee6a4ef-a501-4af2-b778-74546ece5170
Aemetis,AMTX,Aemetis Inc,,,,,,,,,,,,,f,,,,,2641a024-5e10-4e21-ad29-ed35a802301c
AES,AES,The AES Corp,,,,,,,,,,,,,f,,,,,a285b724-9dc4-4c96-b042-4a9133cfb679
Afentra,AET,Afentra PLC,,,,,,,,,,,,,f,,,,,53a394c1-c178-4cfb-afac-38c72ff52491
Africa Oil,AOI,Africa Oil Corp,,,,,,,,,,,,,f,,,,,ce054a8e-ade0-414b-9776-ea66aa40f1c8
AGL Energy,AGL,AGL Energy Ltd,,,,,,,,,,,,,f,,,,,d3fa6dbb-1368-482b-83bf-1f593d5df5e7
Ahlatci Dogal Gaz Dagitim,AHGAZ,Ahlatci Dogal Gaz Dagitim Enerji Ve Yatirim,,,,,,,,,,,,,f,,,,,3e6dee58-d247-451a-9eb2-01d538e4e9a4
Air Products & Chemicals,APD,Air Products & Chemicals Inc,,,,,,,,,,,,,f,,,,,6ee5ef71-9eb7-46c6-b806-728b3475de8c
Akastor,AKAST,Akastor ASA,,,,,,,,,,,,,f,,,,,46de3eaf-6add-4165-b014-21ee211ee83d
Aker BP,AKRBP,Aker BP ASA,,,,,,,,,,,,,f,,,,,27eb4b00-ef99-435b-b299-e87e13bac97d
Aker Solns,AKSO,Aker Solutions ASA,,,,,,,,,,,,,f,,,,,c6edf624-8370-4ed0-aa4c-6360e54b7fb8
Akita Drilling,AKT.A,Akita Drilling Ltd,,,,,,,,,,,,,f,,,,,706bab37-68a9-401f-8855-6cac8df29af0
AKR Corporindo,AKRA,PT AKR Corporindo Tbk,,,,,,,,,,,,,f,,,,,4e2738c3-5887-41e1-bc50-36295e39d137
Aksa Enerji Uretim,AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,,,,,,,,,,,,,f,,,,,d2a27c32-1566-44cb-b3b7-98b57d71668e
ALLETE,ALE,ALLETE Inc,,,,,,,,,,,,,f,,,,,9c0d109c-f23f-4b5d-947c-f6ad7962b7c4
AltaGas,ALA,AltaGas Ltd,,,,,,,,,,,,,f,,,,,a6656b88-622a-4b41-951a-dec2d5d7751c
Aluminium Bahrain,ALBH,Aluminium Bahrain BSC,,,,,,,,,,,,,f,,,,,9b918c59-0353-49f9-a45a-cb3355f60d7d
Alvopetro Energy,ALV,Alvopetro Energy Ltd,,,,,,,,,,,,,f,,,,,6def18a1-2992-4ef0-ac17-2b2adb9fe1cf
American Electric Power,AEP,American Electric Power Co Inc,,,,,,,,,,,,,f,,,,,b6973c68-34f1-4d27-99b3-866d622903dd
Amplify Energy,AMPY,Amplify Energy Corp,,,,,,,,,,,,,f,,,,,c960900f-1ea6-4cad-aaf3-1bd548e57745
Ampol,ALD,Ampol Ltd,,,,,,,,,,,,,f,,,,,98ab317b-a435-4131-bea0-e6a099bdf441
Antero Midstream,AM,Antero Midstream Corp,,,,,,,,,,,,,f,,,,,6f298652-e7d4-4690-99a3-a1a193658b4a
Antero Resources,AR,Antero Resources Corp,,,,,,,,,,,,,f,,,,,249d51c6-2aa9-4678-8931-955265543e37
Anton Oilfield Servs Gr,3337,Anton Oilfield Services Group,,,,,,,,,,,,,f,,,,,9e2a90e1-84f2-44de-87cd-63ce0fea62d0
APA,APA,APA Corp,,,,,,,,,,,,,f,,,,,34a70320-6ea0-4427-8966-5c5f9fe3887f
APA,APA,APA Group,,,,,,,,,,,,,f,,,,,99702993-c563-4528-b867-edaed852bcdc
Arabian Drilling,2381,رشكة الحفر العربية,,,,,,,,,,,,,f,,,,,3a61e011-d6ab-4280-b554-03e093fa3108
ARC Resources,ARX,ARC Resources Ltd,,,,,,,,,,,,,f,,,,,57b32e95-8f02-45b5-8967-bc0f4f59e1ef
ArcelorMittal,MT,ArcelorMittal SA,,,,,,,,,,,,,f,,,,,6688ffff-3c24-4532-a097-1c4b6e8f4796
Archer,ARCH,Archer Ltd,,,,,,,,,,,,,f,,,,,cd0f1f03-f49f-43fb-93f9-316e3d43f34c
Archrock,AROC,Archrock Inc,,,,,,,,,,,,,f,,,,,119964a5-27b0-405f-b0f6-d071426eda09
Arrow Exploration,AXL,Arrow Exploration Corp,,,,,,,,,,,,,f,,,,,f45c3af8-d1c1-4d23-a388-a4acc0295516
Ascent Resources,AST,Ascent Resources PLC,,,,,,,,,,,,,f,,,,,938f6d79-2fb1-4afa-b50f-48ea45c6a7fc
Ashdod Refinery,ARF,"בית זיקוק אשדוד בע""מ",,,,,,,,,,,,,f,,,,,a882bc00-e0f2-4609-99c0-734ba7e74cda
Ashtead Technology Hldgs,AT.,Ashtead Technology Holdings PLC,,,,,,,,,,,,,f,,,,,36b8a216-ef10-4275-a875-017ea9bb6fe2
Asia Cement,1102,亞洲水泥股份有限公司,,,,,,,,,,,,,f,,,,,0adb8429-261f-4fe6-8044-2429736ca7e9
Athabasca Oil,ATH,Athabasca Oil Corp,,,,,,,,,,,,,f,,,,,832ff468-4e79-47e4-b210-983d7759c0b1
Atlas Energy Solutions,AESI,Atlas Energy Solutions Inc,,,,,,,,,,,,,f,,,,,21242bd4-17e6-494b-9e93-d3f73a6b390b
Attock Refinery,ATRL,Attock Refinery Ltd,,,,,,,,,,,,,f,,,,,c7011229-e1b5-4f7f-99ab-2de200408bda
Avance Gas Hldg,AGAS,Avance Gas Holding Ltd,,,,,,,,,,,,,f,,,,,624b2ac8-bd08-4308-be1b-39aefd205820
Ayala,AC,Ayala Corp,,,,,,,,,,,,,f,,,,,1cd80c38-4150-4855-99e2-b4e197cfb4b3
B.Grimm Power,BGRIM,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),,,,,,,,,,,,,f,,,,,a1eeb9e3-a8a2-432e-997a-0ac75428bbec
Baker Hughes,BKR,Baker Hughes Co,,,,,,,,,,,,,f,,,,,2213f5ac-2983-48e0-98c6-ad7162b8a420
Banco BTG Pactual,BPAC3,Banco BTG Pactual S.A.,,,,,,,,,,,,,f,,,,,f65a327d-13d6-4262-aa37-fc06fe4eb0b7
Bangchak Corp,BCP,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน),,,,,,,,,,,,,f,,,,,d6bd87cd-5349-4910-8ec6-a4a10248cf50
Bangchak Sriracha,BSRC,Bangchak Sriracha PCL,,,,,,,,,,,,,f,,,,,38b3653d-e8e7-43a7-90c2-8c11e698b3c0
Barnwell Industries,BRN,Barnwell Industries Inc,,,,,,,,,,,,,f,,,,,20d04e5f-f53a-419c-b73b-514ae48d830d
Barrick Gold,ABX,Barrick Gold Corp,,,,,,,,,,,,,f,,,,,c8ecd371-7e0e-4e56-87b3-c1ea2dcdce59
Bashneft,BANE,ОАО АНК Башнефть,,,,,,,,,,,,,f,,,,,48f3ac70-23e9-4ff3-9c51-6f1e0563f2be
Bass Oil,BAS,Bass Oil Ltd,,,,,,,,,,,,,f,,,,,95e7ec57-f8ee-4b97-bb5f-5a55d0a4b314
Battalion Oil,BATL,Battalion Oil Corp,,,,,,,,,,,,,f,,,,,7b7eebb5-ce7c-49d7-8d84-03f428ba3abb
Baytex Energy,BTE,Baytex Energy Corp,,,,,,,,,,,,,f,,,,,116e69ef-5107-475b-b3c3-63031bd23fd8
Beach Energy,BPT,Beach Energy Ltd,,,,,,,,,,,,,f,,,,,c37bbf8c-eaa9-494e-b973-f8ccd045fab6
