Company,Symbol,Legal name
ABM Investama,ABMM,PT ABM Investama Tbk
Aboitiz Equity Ventures,AEV,Aboitiz Equity Ventures Inc
Aboitiz Power,AP,Aboitiz Power Corp
Adani Energy Solutions,539254,Adani Energy Solutions Ltd
Adani Enterprises,512599,Adani Enterprises Ltd
Adani Power,533096,Adani Power Ltd
Adaro Energy Indonesia,ADRO,PT Adaro Energy Indonesia Tbk
Adaro Minerals Indonesia,ADMR,PT Adaro Minerals Indonesia Tbk
AES,AES,The AES Corp
African Rainbow Minerals,ARI,African Rainbow Minerals Ltd
AGL Energy,AGL,AGL Energy Ltd
Air Products & Chemicals,APD,Air Products & Chemicals Inc
Aksa Enerji Uretim,AKSEN,AKSA ENERJİ ÜRETİM A.Ş.
ALLETE,ALE,ALLETE Inc
Alliance Res Partners,ARLP,Alliance Resource Partners LP
Alliant Energy,LNT,Alliant Energy Corp
Alpha Metallurgical,AMR,Alpha Metallurgical Resources Inc
Altinyag Kombinalari,ALMAD,ALTINYAĞ KOMBİNALARI A.Ş.
Aluminum Corp of China,601600,中国铝业股份有限公司
Ambuja Cements,500425,Ambuja Cements Ltd
Ameren,AEE,Ameren Corp
American Electric Power,AEP,American Electric Power Co Inc
American Res,AREC,American Resources Corp
An Hui Wenergy,543,安徽省皖能股份有限公司
Anglo American,AAL,Anglo American PLC
Anhui Hengyuan Coal,600971,安徽恒源煤电股份有限公司
APSEZ,532921,Adani Ports & Special Economic Zone Ltd
ArcelorMittal,MT,ArcelorMittal SA
Arch Resources,ARCH,Arch Resources Inc
Asia Green Energy,AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน)
Astra International,ASII,PT Astra International Tbk
Astrindo Nusantara,BIPI,PT Astrindo Nusantara Infrastruktur Tbk
Aurizon Holdings,AZJ,Aurizon Holdings Ltd
Avista,AVA,Avista Corp
Bajaj Hindusthan Sugar,500032,Bajaj Hindusthan Sugar Ltd
Banpu,BANPU,บริษัท บ้านปู จำกัด (มหาชน)
Banpu Power,BPP,บริษัท บ้านปู เพาเวอร์ จำกัด (มหาชน)
Baotailong New Materials,601011,宝泰隆新材料股份有限公司
Baramulti Suksessarana,BSSR,PT Baramulti Suksessarana Tbk
Bathurst Resources,BRL,Bathurst Resources Ltd
Bayan Resources,BYAN,PT Bayan Resources Tbk
Beijing Haohua Energy,601101,北京昊华能源股份有限公司
Beijing Jingneng Power,600578,北京京能电力股份有限公司
Bharat Heavy Electricals,500103,Bharat Heavy Electricals Ltd
BHP Group,BHP,BHP Group Ltd
Black Hills,BKH,Black Hills Corp
Bowen Coking Coal,BCB,Bowen Coking Coal Ltd
Bukit Asam,PTBA,PT Bukit Asam Tbk
Bumech,BMC,Bumech S.A.
Bumi Resources,BUMI,PT Bumi Resources Tbk
CAN2 Termik,CANTE,CAN2 Termik AS
CCS Supply Chain,600180,瑞茂通供应链管理股份有限公司
CenterPoint Energy,CNP,CenterPoint Energy Inc
