Company,Symbol,Legal name
3R Petroleum Oleo E Gas,RRRP3,3R Petroleum Oleo E Gas SA
88 Energy,88E,88 Energy Ltd
A.b.p. Nocivelli,ABP,A.b.p. Nocivelli SpA
A2A,A2A,A2A SpA
Abraj Energy Servs,ABRJ,Abraj Energy Services
Abu Dhabi National Energy,TAQA,شركة ابوظبي الوطنية للطاقة
ACEN,ACEN,ACEN Corp
ACWA POWER,2082,شركة أكوا باور
Adams Resources & Energy,AE,Adams Resources & Energy Inc
Ades Holding,2382,شركة أديس القابضة
ADNOC Drilling Company,ADNOCDRILL,ADNOC Drilling Company PJSC
ADNOC Gas,ADNOCGAS,أدنوك للغاز بي أل سي
Advantage Energy,AAV,Advantage Energy Ltd
Aegis Logistics,500003,Aegis Logistics Ltd
Aemetis,AMTX,Aemetis Inc
AES,AES,The AES Corp
Afentra,AET,Afentra PLC
Africa Oil,AOI,Africa Oil Corp
AGL Energy,AGL,AGL Energy Ltd
Ahlatci Dogal Gaz Dagitim,AHGAZ,Ahlatci Dogal Gaz Dagitim Enerji Ve Yatirim
Air Products & Chemicals,APD,Air Products & Chemicals Inc
Akastor,AKAST,Akastor ASA
Aker BP,AKRBP,Aker BP ASA
Aker Solns,AKSO,Aker Solutions ASA
Akita Drilling,AKT.A,Akita Drilling Ltd
AKR Corporindo,AKRA,PT AKR Corporindo Tbk
Aksa Enerji Uretim,AKSEN,AKSA ENERJİ ÜRETİM A.Ş.
ALLETE,ALE,ALLETE Inc
AltaGas,ALA,AltaGas Ltd
Aluminium Bahrain,ALBH,Aluminium Bahrain BSC
Alvopetro Energy,ALV,Alvopetro Energy Ltd
American Electric Power,AEP,American Electric Power Co Inc
Amplify Energy,AMPY,Amplify Energy Corp
Ampol,ALD,Ampol Ltd
Antero Midstream,AM,Antero Midstream Corp
Antero Resources,AR,Antero Resources Corp
Anton Oilfield Servs Gr,3337,Anton Oilfield Services Group
APA,APA,APA Corp
APA,APA,APA Group
Arabian Drilling,2381,رشكة الحفر العربية
ARC Resources,ARX,ARC Resources Ltd
ArcelorMittal,MT,ArcelorMittal SA
Archer,ARCH,Archer Ltd
Archrock,AROC,Archrock Inc
Arrow Exploration,AXL,Arrow Exploration Corp
Ascent Resources,AST,Ascent Resources PLC
Ashdod Refinery,ARF,"בית זיקוק אשדוד בע""מ"
Ashtead Technology Hldgs,AT.,Ashtead Technology Holdings PLC
Asia Cement,1102,亞洲水泥股份有限公司
Athabasca Oil,ATH,Athabasca Oil Corp
Atlas Energy Solutions,AESI,Atlas Energy Solutions Inc
Attock Refinery,ATRL,Attock Refinery Ltd
Avance Gas Hldg,AGAS,Avance Gas Holding Ltd
Ayala,AC,Ayala Corp
B.Grimm Power,BGRIM,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน)
Baker Hughes,BKR,Baker Hughes Co
Banco BTG Pactual,BPAC3,Banco BTG Pactual S.A.
Bangchak Corp,BCP,บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน)
Bangchak Sriracha,BSRC,Bangchak Sriracha PCL
Barnwell Industries,BRN,Barnwell Industries Inc
Barrick Gold,ABX,Barrick Gold Corp
Bashneft,BANE,ОАО АНК Башнефть
Bass Oil,BAS,Bass Oil Ltd
Battalion Oil,BATL,Battalion Oil Corp
Baytex Energy,BTE,Baytex Energy Corp
Beach Energy,BPT,Beach Energy Ltd
Beijing Ent Hldgs,392,北京控股有限公司
Berry Corp,BRY,Berry Corp (bry)
Bharat Petroleum Corp,500547,Bharat Petroleum Corp Ltd
BHP Group,BHP,BHP Group Ltd
Birchcliff Energy,BIR,Birchcliff Energy Ltd
Black Stone Minerals,BSM,Black Stone Minerals LP
Blackstone,BX,Blackstone Inc
