COMPANY,ADDRESS LINE 1,CITY,STATE,ZIPCODE,AREA CODE,PRIMARY SIC CODE,SIC6_DESCRIPTIONS (SIC),initial classification
QUIKTRIP,2009 W GLENDALE AVE # 2,PHOENIX,AZ,85021.0,602,541103,SERVICE STATIONS-GASOLINE & OIL,f
PRO DIESEL,11441 N 19TH AVE # 10,PHOENIX,AZ,85029.0,602,753801,DIESEL FUEL (WHLS),f
E-Z MART,1806 W CALIFORNIA AVE,RUSTON,LA,71270.0,318,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,16794 W BELL RD,SURPRISE,AZ,85374.0,623,541103,SERVICE STATIONS-GASOLINE & OIL,f
BLUESKY,3180 US HIGHWAY 25,STATESBORO,GA,30461.0,912,541103,SERVICE STATIONS-GASOLINE & OIL,f
QUIKTRIP,1331 S COUNTRY CLUB DR,MESA,AZ,85210.0,480,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,102 W FRY BLVD,SIERRA VISTA,AZ,85635.0,520,541103,SERVICE STATIONS-GASOLINE & OIL,f
SPEEDWAY,3205 STONE MOUNTAIN HWY,SNELLVILLE,GA,30078.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
MURPHY USA,3425 GERSTNER MEMORIAL BLVD,LAKE CHARLES,LA,70607.0,337,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,2405 N SILVERBELL RD,TUCSON,AZ,85745.0,520,541103,SERVICE STATIONS-GASOLINE & OIL,f
JET FOOD STORE,621 SPARTA RD,SANDERSVILLE,GA,31082.0,478,541103,SERVICE STATIONS-GASOLINE & OIL,f
SHELL GAS STATION,2218 SCENIC HWY N,SNELLVILLE,GA,30078.0,770,554101,DIESEL FUEL (WHLS),f
BANANA JONS LLC,1116 PEARCE LN,SHOW LOW,AZ,85901.0,928,769902,TOILETS-PORTABLE,f
AIR PRODUCTS & CHEMICALS INC,10759 CONVENTWAY RD,CONVENT,LA,70723.0,225,281998,GAS-IND & MEDICAL-CYLINDER & BULK-MFRS,f
LOW COUNTRY INDL,1500 W BAY ST,SAVANNAH,GA,31415.0,912,508522,GASKETS-MANUFACTURERS,f
ACADIAN EXPRESS,831 HIGHWAY 182,HOUMA,LA,70364.0,985,517201,SERVICE STATIONS-GASOLINE & OIL,f
BERG GARAGE INC,11 W MAIN ST,WHITE SLPHR SPGS,MT,59645.0,406,554101,PROPANE (LP) GAS,f
LUTZ ENVIRONMENT CO INC,2020 CLINTON ST,LINDEN,NJ,7036.0,908,154216,DRILLING-OIL & GAS WELLS,f
FERRELLGAS,1806 LUMPKIN RD,AUGUSTA,GA,30906.0,706,598401,FABRICATED PLATE WORK-BOILER SHOP (MFRS),f
ROCK THE STORE,4131 HIGHWAY 19 S,ZEBULON,GA,30295.0,770,541103,SERVICE STATIONS-GASOLINE & OIL,f
PRICE BROS WELL DRILLING,8610 HIGHWAY 166,DOUGLASVILLE,GA,30135.0,470,178101,OIL WELL DRILLING,f
SPEEDWAY,6500 S 12TH AVE,TUCSON,AZ,85756.0,520,541103,SERVICE STATIONS-GASOLINE & OIL,f
CIRCLE K,401 S ELLSWORTH RD,MESA,AZ,85208.0,480,541103,SERVICE STATIONS-GASOLINE & OIL,f
FRY'S FUEL CTR,34 W SOUTHERN AVE,TEMPE,AZ,85282.0,480,541103,SERVICE STATIONS-GASOLINE & OIL,f
