original_uuids,mapped_uuid
46c23b10-c200-432a-a810-c812a0e4e676,46c23b10-c200-432a-a810-c812a0e4e676
82288580-61a3-4af5-8b72-c621546b00a8,82288580-61a3-4af5-8b72-c621546b00a8
1db5cd66-4567-4fcc-96ad-227f760324a0,1db5cd66-4567-4fcc-96ad-227f760324a0
2ab5f103-996d-4022-84c4-eb92e1c1debb,2ab5f103-996d-4022-84c4-eb92e1c1debb
5c76bf21-9888-412a-9f20-53eddf0cbfa6,5c76bf21-9888-412a-9f20-53eddf0cbfa6
30637b7f-444c-4a9c-8321-9b9f5c522cd7,30637b7f-444c-4a9c-8321-9b9f5c522cd7
29c82a4e-4674-4bf1-ac5d-1534aad4cc1d,29c82a4e-4674-4bf1-ac5d-1534aad4cc1d
83e2975a-255a-41f3-a796-acebe667fdcd,83e2975a-255a-41f3-a796-acebe667fdcd
c6d23ac6-f318-427d-8b66-b6a6f0720764,c6d23ac6-f318-427d-8b66-b6a6f0720764
0a1908db-d8ec-4210-b8f3-a8c1babfdc07,0a1908db-d8ec-4210-b8f3-a8c1babfdc07
f6e4a5ff-ceb8-4ba2-85f7-1d16b28585ef,f6e4a5ff-ceb8-4ba2-85f7-1d16b28585ef
ea4786d9-7534-4eb9-a957-a6d6ee43a0f3,ea4786d9-7534-4eb9-a957-a6d6ee43a0f3
8614855e-4e18-401b-a98b-65dd3e5d1e84,8614855e-4e18-401b-a98b-65dd3e5d1e84
feae72f4-4cc2-4862-a605-9374420dc873,feae72f4-4cc2-4862-a605-9374420dc873
7289fc20-a505-45a7-a592-4352799f1383,7289fc20-a505-45a7-a592-4352799f1383
461e9cbd-874d-4800-abc5-ff8fd2669b9e,461e9cbd-874d-4800-abc5-ff8fd2669b9e
4a17cbe3-d738-4af6-ac66-e63d6a5b8454,4a17cbe3-d738-4af6-ac66-e63d6a5b8454
c5d3eeb8-c19a-4fc8-9364-139724f00423,c5d3eeb8-c19a-4fc8-9364-139724f00423
ad7fb582-673c-4384-80a7-391a55f6fa95,ad7fb582-673c-4384-80a7-391a55f6fa95
1dbb1464-4310-4c84-8b24-3bc740d74c06,1dbb1464-4310-4c84-8b24-3bc740d74c06
1fd2d5d4-d22b-4a50-8165-de049c2092b5,1fd2d5d4-d22b-4a50-8165-de049c2092b5
52b47b38-87e9-41c9-ba77-99eb18d7aafa,52b47b38-87e9-41c9-ba77-99eb18d7aafa
7c03aab0-6635-4fdb-b924-3d99c6c74e7d,7c03aab0-6635-4fdb-b924-3d99c6c74e7d
2ffa34f0-3143-4be9-b9fc-d3dfe694921b,2ffa34f0-3143-4be9-b9fc-d3dfe694921b
cb9e44c6-8ea4-47c9-be64-9ea96d369643,cb9e44c6-8ea4-47c9-be64-9ea96d369643
c525b2b1-dc10-4f1a-ab84-7d316f3861a3,c525b2b1-dc10-4f1a-ab84-7d316f3861a3
a87b78c1-d051-4a2d-8107-aed54f13955b,a87b78c1-d051-4a2d-8107-aed54f13955b
00bdc14b-773f-4683-bd3d-61c4f89433e3,00bdc14b-773f-4683-bd3d-61c4f89433e3
f60cfa3c-182f-4f5c-86d2-eb23a725ae2b,f60cfa3c-182f-4f5c-86d2-eb23a725ae2b
47405771-7391-4dd0-8b12-99edb9615c5f,47405771-7391-4dd0-8b12-99edb9615c5f
